lol,lol1,lol2,lol3
Abbotsbury,Cremorne,Kyeemagh,Prospect
Abbotsford,Cremorne Point,Kyle Bay,Punchbowl
Acacia Gardens,Cromer,La Perouse,Putney
Agnes Banks,Cronulla,Lakemba,Pymble
Airds,Crows Nest,Lalor Park,Pyrmont
Alexandria,Croydon,Lane Cove,Quakers Hill
Alfords Point,Croydon Park,Lane Cove North,Queens Park
Allambie Heights,Curl Curl,Lane Cove West,Queenscliff
Allawah,Currawong Beach,Lansdowne,Raby
Ambarvale,Currans Hill,Lansvale,Ramsgate
Annandale,Daceyville,Laughtondale,Ramsgate Beach
Annangrove,Dangar Island,Lavender Bay,Randwick
Arcadia,Darkes Forest,Leets Vale,Redfern
Arncliffe,Darling Point,Leichhardt,Regents Park
Arndell Park,Darlinghurst,Len Waters Estate,Regentville
Artarmon,Darlington,Leppington,Revesby
Ashbury,Davidson,Lethbridge Park,Revesby Heights
Ashcroft,Dawes Point,Leumeah,Rhodes
Ashfield,Dean Park,Lewisham,Richmond
Asquith,Dee Why,Liberty Grove,Riverstone
Auburn,Denham Court,Lidcombe,Riverview
Austinmer,Denistone,Lilli Pilli,Riverwood
Austral,Denistone East,Lilyfield,Rockdale
Avalon Beach,Denistone West,Lilyvale,Rodd Point
Badgerys Creek,Dharruk,Lindfield,Rookwood
Balgowlah,Dolans Bay,Linley Point,Rooty Hill
Balgowlah Heights,Dolls Point,Little Bay,Ropes Crossing
Balmain,Doonside,Liverpool,Rose Bay
Balmain East,Double Bay,Llandilo,Rosebery
Bangor,Dover Heights,Loftus,Rosehill
Banksia,Drummoyne,Londonderry,Roselands
Banksmeadow,Duffys Forest,Long Point,Rosemeadow
Bankstown,Dulwich Hill,Longueville,Roseville
Bankstown Aerodrome,Dundas,Lovett Bay,Roseville Chase
Barangaroo,Dundas Valley,Lower Portland,Rossmore
Barden Ridge,Dural,Lucas Heights,Rouse Hill
Bardia,Eagle Vale,Luddenham,Royal National Park
Bardwell Park,Earlwood,Lugarno,Rozelle
Bardwell Valley,East Hills,Lurnea,Ruse
Bass Hill,East Killara,Macquarie Fields,Rushcutters Bay
Baulkham Hills,East Lindfield,Macquarie Links,Russell Lea
Bayview,East Ryde,Macquarie Park,Rydalmere
Beacon Hill,Eastern Creek,Maddens Plains,Ryde
Beaconsfield,Eastgardens,Maianbar,Sackville North
Beaumont Hills,Eastlakes,Malabar,Sadleir
Beecroft,Eastwood,Manly,Sandringham
Belfield,Edensor Park,Manly Vale,Sandy Point
Bella Vista,Edgecliff,Maraylya,Sans Souci
Bellevue Hill,Edmondson Park,Marayong,Scarborough
Belmore,Elanora Heights,Maroota,Schofields
Belrose,Elderslie,Maroubra,Scotland Island
Berala,Elizabeth Bay,Marrickville,Seaforth
Berkshire Park,Elizabeth Hills,Marsden Park,Sefton
Berowra,Elvina Bay,Marsfield,Seven Hills
Berowra Creek,Emerton,Mascot,Shalvey
Berowra Heights,Enfield,Matraville,Shanes Park
Berowra Waters,Engadine,Mays Hill,Silverwater
Berrilee,Englorie Park,McCarrs Creek,Singletons Mill
Beverley Park,Enmore,McGraths Hill,Smeaton Grange
Beverly Hills,Epping,McMahons Point,Smithfield
Bexley,Ermington,Meadowbank,South Coogee
Bexley North,Erskine Park,Melrose Park,South Granville
Bidwill,Erskineville,Menai,South Hurstville
Bilgola Beach,Eschol Park,Menangle Park,South Maroota
Bilgola Plateau,Eveleigh,Merrylands,South Penrith
Birchgrove,Fairfield,Merrylands West,South Turramurra
Birrong,Fairfield East,Middle Cove,South Wentworthville
Blackett,Fairfield Heights,Middle Dural,South Windsor
Blacktown,Fairfield West,Middleton Grange,Spring Farm
Blair Athol,Fairlight,Miller,St Andrews
Blairmount,Fiddletown,Millers Point,St Clair
Blakehurst,Five Dock,Milperra,St Helens Park
Bligh Park,Forest Glen,Milsons Passage,St Ives
Bondi,Forest Lodge,Milsons Point,St Ives Chase
Bondi Beach,Forestville,Minchinbury,St Johns Park
Bondi Junction,Frenchs Forest,Minto,St Leonards
Bonnet Bay,Freshwater,Minto Heights,St Marys
Bonnyrigg,Galston,Miranda,St Peters
Bonnyrigg Heights,Georges Hall,Mona Vale,Stanhope Gardens
Bossley Park,Gilead,Monterey,Stanmore
Botany,Girraween,Moore Park,Stanwell Park
Bow Bowing,Gladesville,Moorebank,Stanwell Tops
Box Hill,Glebe,Morning Bay,Strathfield
Bradbury,Gledswood Hills,Mortdale,Strathfield South
Breakfast Point,Glen Alpine,Mortlake,Summer Hill
Brighton-Le-Sands,Glendenning,Mosman,Surry Hills
Bringelly,Glenfield,Mount Annan,Sutherland
Bronte,Glenhaven,Mount Colah,Sydenham
Brooklyn,Glenmore Park,Mount Druitt,Sydney
Brookvale,Glenorie,Mount Kuring-Gai,Sydney Olympic Park
Bundeena,Glenwood,Mount Lewis,Sylvania
Bungarribee,Gordon,Mount Pritchard,Sylvania Waters
Burraneer,Granville,Mount Vernon,Tamarama
Burwood,Grays Point,Mulgoa,Taren Point
Burwood Heights,Great Mackerel Beach,Mulgrave,Telopea
Busby,Green Valley,Narellan,Tempe
Cabarita,Greenacre,Narellan Vale,Tennyson Point
Cabramatta,Greendale,Naremburn,Terrey Hills
Cabramatta West,Greenfield Park,Narrabeen,The Ponds
Caddens,Greenhills Beach,Narraweena,The Rocks
Cambridge Gardens,Greenwich,Narwee,Thirroul
Cambridge Park,Gregory Hills,Nelson,Thornleigh
Camellia,Greystanes,Neutral Bay,Toongabbie
Cammeray,Guildford,Newington,Tregear
Campbelltown,Guildford West,Newport,Turramurra
Camperdown,Gymea,Newtown,Turrella
Campsie,Gymea Bay,Normanhurst,Ultimo
Canada Bay,Haberfield,North Balgowlah,Varroville
Canley Heights,Hammondville,North Bondi,Vaucluse
Canley Vale,Harrington Park,North Curl Curl,Villawood
Canoelands,Harris Park,North Epping,Vineyard
Canterbury,Hassall Grove,North Kellyville,Voyager Point
Caringbah,Haymarket,North Manly,Wahroonga
Caringbah South,Heathcote,North Narrabeen,Waitara
Carlingford,Hebersham,North Parramatta,Wakeley
Carlton,Heckenberg,North Rocks,Wallacia
Carnes Hill,Helensburgh,North Ryde,Wareemba
Carramar,Henley,North St Marys,Warrawee
Carss Park,Hillsdale,North Strathfield,Warriewood
Cartwright,Hinchinbrook,North Sydney,Warwick Farm
Castle Cove,Hobartville,North Turramurra,Waterfall
Castle Hill,Holroyd,North Wahroonga,Waterloo
Castlecrag,Holsworthy,North Willoughby,Watsons Bay
Castlereagh,Homebush,Northbridge,Wattle Grove
Casula,Homebush West,Northmead,Waverley
Catherine Field,Horningsea Park,Northwood,Waverton
Cattai,Hornsby,Norwest,Wedderburn
Cecil Hills,Hornsby Heights,Oakhurst,Wentworth Point
Cecil Park,Horsley Park,Oakville,Wentworthville
Centennial Park,Hoxton Park,Oatlands,Werrington
Chatswood,Hunters Hill,Oatley,Werrington County
Chatswood West,Huntingwood,Old Guildford,Werrington Downs
Cheltenham,Huntleys Cove,Old Toongabbie,West Hoxton
Cherrybrook,Huntleys Point,Oran Park,West Pennant Hills
Chester Hill,Hurlstone Park,Orchard Hills,West Pymble
Chifley,Hurstville,Otford,West Ryde
Chippendale,Hurstville Grove,Oxford Falls,Westleigh
Chipping Norton,Illawong,Oxley Park,Westmead
Chiswick,Ingleburn,Oyster Bay,Wetherill Park
Chullora,Ingleside,Paddington,Whalan
Church Point,Jamisontown,Padstow,Whale Beach
Claremont Meadows,Jannali,Padstow Heights,Wheeler Heights
Clarendon,Jordan Springs,Pagewood,Wiley Park
Clareville,Kangaroo Point,Palm Beach,Willmot
Claymore,Kareela,Panania,Willoughby
Clemton Park,Kearns,Parklea,Willoughby East
Clifton,Kellyville,Parramatta,Windsor
Clontarf,Kellyville Ridge,Peakhurst,Windsor Downs
Clovelly,Kemps Creek,Peakhurst Heights,Winston Hills
Clyde,Kensington,Pemulwuy,Wisemans Ferry
Coalcliff,Kenthurst,Pendle Hill,Wolli Creek
Coasters Retreat,Kentlyn,Pennant Hills,Wollstonecraft
Cobbitty,Killara,Penrith,Wombarra
Colebee,Killarney Heights,Penshurst,Woodbine
Coledale,Kings Langley,Petersham,Woodcroft
Collaroy,Kings Park,Phillip Bay,Woodpark
Collaroy Plateau,Kingsford,Picnic Point,Woollahra
Colyton,Kingsgrove,Pitt Town,Woolloomooloo
Como,Kingswood,Pleasure Point,Woolooware
Concord,Kirkham,Plumpton,Woolwich
Concord West,Kirrawee,Point Piper,Woronora
Condell Park,Kirribilli,Port Botany,Woronora Heights
Connells Point,Kogarah,Port Hacking,Yagoona
Constitution Hill,Kogarah Bay,Potts Hill,Yarrawarrah
Coogee,Ku-Ring-Gai Chase,Potts Point,Yennora
Cottage Point,Kurnell,Prairiewood,Yowie Bay
Cowan,Kurraba Point,Prestons,Zetland
Cranebrook ,,  ,
